1.00000;0.00000;0.00000;0.00000;0.00000
1.00000;0.00000;0.50000;0.20675;0.16800
1.00000;0.00000;1.00000;0.15769;0.13600
1.00000;0.50000;0.00000;0.52913;0.45600
1.00000;0.50000;0.50000;0.33931;0.24800
1.00000;0.50000;1.00000;0.68778;0.36800
1.00000;1.00000;0.00000;0.53739;0.52800
1.00000;1.00000;0.50000;0.82363;0.39200
1.00000;1.00000;1.00000;1.00000;0.48000
0.66667;0.00000;0.00000;0.28557;0.21600
0.66667;0.00000;0.50000;0.45414;0.23200
0.66667;0.00000;1.00000;0.29036;0.31200
0.66667;0.50000;0.00000;0.41438;0.43200
0.66667;0.50000;0.50000;0.58179;0.35200
0.66667;0.50000;1.00000;0.51142;0.27200
0.66667;1.00000;0.00000;0.38004;0.60800
0.66667;1.00000;0.50000;0.76765;0.36000
0.66667;1.00000;1.00000;0.87729;0.41600
0.33333;0.00000;0.00000;0.02537;0.31200
0.33333;0.00000;0.50000;0.31213;0.34400
0.33333;0.00000;1.00000;0.49458;0.39200
0.33333;0.50000;0.00000;0.10710;0.60800
0.33333;0.50000;0.50000;0.54962;0.44000
0.33333;0.50000;1.00000;0.65075;0.31200
0.33333;1.00000;0.00000;0.13724;0.76800
0.33333;1.00000;0.50000;0.72580;0.73600
0.33333;1.00000;1.00000;0.73296;0.47200
0.00000;0.00000;0.00000;0.04345;0.44800
0.00000;0.00000;0.50000;0.33859;0.36800
0.00000;0.00000;1.00000;0.26253;0.33600
0.00000;0.50000;0.00000;0.06103;0.57600
0.00000;0.50000;0.50000;0.57484;0.55200
0.00000;0.50000;1.00000;0.58944;0.40800
0.00000;1.00000;0.00000;0.22962;1.00000
0.00000;1.00000;0.50000;0.67536;0.88000
0.00000;1.00000;1.00000;0.70682;0.77600
