0.1;0.02;700;142.3806
0.1;0.02;725;114.4588
0.1;0.02;750;103.6912
0.1;0.02;775;89.2577
0.1;0.02;800;81.527
0.1;0.02;825;75.975
0.1;0.02;850;73.414
0.1;0.02;875;75.9897
0.1;0.02;900;78.536
0.1;0.02;925;77.1417
0.1;0.02;950;87.7549
0.1;0.07;700;158.3594
0.1;0.07;725;130.3898
0.1;0.07;750;116.9931
0.1;0.07;775;104.3891
0.1;0.07;800;101.5025
0.1;0.07;825;109.0246
0.1;0.07;850;109.3845
0.1;0.07;875;106.9265
0.1;0.07;900;103.0025
0.1;0.07;925;102.0761
0.1;0.07;950;112.7618
0.1;0.495;700;172.084
0.1;0.495;725;146.2491
0.1;0.495;750;130.6963
0.1;0.495;775;116.6863
0.1;0.495;800;113.552
0.1;0.495;825;130.6201
0.1;0.495;850;147.8019
0.1;0.495;875;139.8109
0.1;0.495;900;138.2225
0.1;0.495;925;136.2912
0.1;0.495;950;161.3566
1;0.02;700;170.8625
1;0.02;725;143.437
1;0.02;750;117.7174
1;0.02;775;104.0895
1;0.02;800;86.1046
1;0.02;825;83.4959
1;0.02;850;82.1846
1;0.02;875;89.3452
1;0.02;900;93.1967
1;0.02;925;89.8611
1;0.02;950;87.7549
1;0.07;700;211.8335
1;0.07;725;183.4914
1;0.07;750;156.918
1;0.07;775;143.9147
1;0.07;800;134.0156
1;0.07;825;143.6194
1;0.07;850;150.1416
1;0.07;875;141.1451
1;0.07;900;133.5649
1;0.07;925;129.8281
1;0.07;950;126.8784
1;0.495;700;216.6325
1;0.495;725;190.878
1;0.495;750;166.4261
1;0.495;775;157.6553
1;0.495;800;160.3141
1;0.495;825;187.0323
1;0.495;850;202.5581
1;0.495;875;182.6383
1;0.495;900;165.6154
1;0.495;925;165.2133
1;0.495;950;161.591
10;0.02;700;243.2075
10;0.02;725;201.9509
10;0.02;750;165.0988
10;0.02;775;161.6665
10;0.02;800;160.4046
10;0.02;825;130.0162
10;0.02;850;139.7167
10;0.02;875;139.9954
10;0.02;900;148.1874
10;0.02;925;141.6634
10;0.02;950;136.2457
10;0.07;700;265.7264
10;0.07;725;211.0888
10;0.07;750;187.7685
10;0.07;775;183.2935
10;0.07;800;182.5968
10;0.07;825;168.5211
10;0.07;850;199.7574
10;0.07;875;184.1906
10;0.07;900;176.5055
10;0.07;925;169.555
10;0.07;950;161.2696
10;0.495;700;270.2699
10;0.495;725;226.8394
10;0.495;750;203.0425
10;0.495;775;195.6407
10;0.495;800;192.9881
10;0.495;825;200.005
10;0.495;850;251.9212
10;0.495;875;221.6268
10;0.495;900;198.4156
10;0.495;925;189.5497
10;0.495;950;176.5724
